,topic_id,member_id,vote
13686,20130508-113,Michael TIEN,Absent
13687,20130508-113,James TIEN,No
13688,20130508-113,NG Leung-sing,No
13689,20130508-113,Steven HO,No
13690,20130508-113,Frankie YICK,No
13691,20130508-113,WU Chi-wai,Absent
13692,20130508-113,YIU Si-wing,No
13693,20130508-113,Gary FAN,Absent
13694,20130508-113,MA Fung-kwok,No
13695,20130508-113,Charles Peter MOK,Absent
13696,20130508-113,CHAN Chi-chuen,Yes
13697,20130508-113,CHAN Han-pan,No
13698,20130508-113,Dr Kenneth CHAN,Absent
13699,20130508-113,CHAN Yuen-han,No
13700,20130508-113,LEUNG Che-cheung,No
13701,20130508-113,Kenneth LEUNG,Absent
13702,20130508-113,Alice MAK,No
13703,20130508-113,Dr KWOK Ka-ki,Absent
13704,20130508-113,KWOK Wai-keung,No
13705,20130508-113,Dennis KWOK,Absent
13706,20130508-113,Christopher CHEUNG,No
13707,20130508-113,Dr Fernando CHEUNG,Absent
13708,20130508-113,SIN Chung-kai,Absent
13709,20130508-113,Dr Helena WONG,Absent
13710,20130508-113,IP Kin-yuen,Absent
13711,20130508-113,Dr Elizabeth QUAT,No
13712,20130508-113,Martin LIAO,No
13713,20130508-113,POON Siu-ping,No
13714,20130508-113,TANG Ka-piu,No
13715,20130508-113,Dr CHIANG Lai-wan,No
13716,20130508-113,Ir Dr LO Wai-kwok,No
13717,20130508-113,CHUNG Kwok-pan,No
13718,20130508-113,Christopher CHUNG,No
13719,20130508-113,Tony TSE,No
13720,20130508-114,TSANG Yok-sing,Present
13721,20130508-114,Albert HO,Absent
13722,20130508-114,LEE Cheuk-yan,Absent
13723,20130508-114,James TO,Absent
13724,20130508-114,CHAN Kam-lam,No
13725,20130508-114,LEUNG Yiu-chung,Absent
13726,20130508-114,Dr LAU Wong-fat,No
13727,20130508-114,Emily LAU,Absent
13728,20130508-114,TAM Yiu-chung,No
13729,20130508-114,Abraham SHEK,No
13730,20130508-114,Tommy CHEUNG,No
13731,20130508-114,Frederick FUNG,Absent
13732,20130508-114,Vincent FANG,Absent
13733,20130508-114,WONG Kwok-hing,No
13734,20130508-114,Prof Joseph LEE,Absent
13735,20130508-114,Jeffrey LAM,Absent
13736,20130508-114,Andrew LEUNG,No
13737,20130508-114,WONG Ting-kwong,No
13738,20130508-114,Ronny TONG,Absent
13739,20130508-114,Cyd HO,Absent
13740,20130508-114,Starry LEE,Absent
13741,20130508-114,Dr LAM Tai-fai,Absent
13742,20130508-114,CHAN Hak-kan,No
13743,20130508-114,CHAN Kin-por,No
13744,20130508-114,Dr Priscilla LEUNG,No
13745,20130508-114,Dr LEUNG Ka-lau,Absent
13746,20130508-114,CHEUNG Kwok-che,Absent
13747,20130508-114,WONG Kwok-kin,No
13748,20130508-114,IP Kwok-him,No
13749,20130508-114,Mrs Regina IP,Absent
13750,20130508-114,Paul TSE,No
13751,20130508-114,Alan LEONG,Absent
13752,20130508-114,LEUNG Kwok-hung,Yes
13753,20130508-114,Albert CHAN,Absent
13754,20130508-114,WONG Yuk-man,Absent
13755,20130508-114,Claudia MO,Absent
13756,20130508-114,Michael TIEN,Absent
13757,20130508-114,James TIEN,No
13758,20130508-114,NG Leung-sing,No
13759,20130508-114,Steven HO,No
13760,20130508-114,Frankie YICK,No
13761,20130508-114,WU Chi-wai,Absent
13762,20130508-114,YIU Si-wing,No
13763,20130508-114,Gary FAN,Absent
13764,20130508-114,MA Fung-kwok,No
13765,20130508-114,Charles Peter MOK,Absent
13766,20130508-114,CHAN Chi-chuen,Yes
13767,20130508-114,CHAN Han-pan,No
13768,20130508-114,Dr Kenneth CHAN,Absent
13769,20130508-114,CHAN Yuen-han,No
13770,20130508-114,LEUNG Che-cheung,No
13771,20130508-114,Kenneth LEUNG,Absent
13772,20130508-114,Alice MAK,No
13773,20130508-114,Dr KWOK Ka-ki,Absent
13774,20130508-114,KWOK Wai-keung,No
13775,20130508-114,Dennis KWOK,Absent
13776,20130508-114,Christopher CHEUNG,No
13777,20130508-114,Dr Fernando CHEUNG,Absent
13778,20130508-114,SIN Chung-kai,Absent
13779,20130508-114,Dr Helena WONG,Absent
13780,20130508-114,IP Kin-yuen,Absent
13781,20130508-114,Dr Elizabeth QUAT,No
13782,20130508-114,Martin LIAO,No
13783,20130508-114,POON Siu-ping,No
13784,20130508-114,TANG Ka-piu,No
13785,20130508-114,Dr CHIANG Lai-wan,No
13786,20130508-114,Ir Dr LO Wai-kwok,No
13787,20130508-114,CHUNG Kwok-pan,No
13788,20130508-114,Christopher CHUNG,No
13789,20130508-114,Tony TSE,No
13790,20130508-115,TSANG Yok-sing,Present
13791,20130508-115,Albert HO,Absent
13792,20130508-115,LEE Cheuk-yan,Absent
13793,20130508-115,James TO,Absent
13794,20130508-115,CHAN Kam-lam,No
13795,20130508-115,LEUNG Yiu-chung,Absent
13796,20130508-115,Dr LAU Wong-fat,No
13797,20130508-115,Emily LAU,Absent
13798,20130508-115,TAM Yiu-chung,No
13799,20130508-115,Abraham SHEK,No
13800,20130508-115,Tommy CHEUNG,No
13801,20130508-115,Frederick FUNG,Absent
13802,20130508-115,Vincent FANG,Absent
13803,20130508-115,WONG Kwok-hing,No
13804,20130508-115,Prof Joseph LEE,Absent
13805,20130508-115,Jeffrey LAM,Absent
13806,20130508-115,Andrew LEUNG,No
13807,20130508-115,WONG Ting-kwong,No
13808,20130508-115,Ronny TONG,Absent
13809,20130508-115,Cyd HO,Absent
13810,20130508-115,Starry LEE,Absent
13811,20130508-115,Dr LAM Tai-fai,Absent
13812,20130508-115,CHAN Hak-kan,No
13813,20130508-115,CHAN Kin-por,No
13814,20130508-115,Dr Priscilla LEUNG,No
13815,20130508-115,Dr LEUNG Ka-lau,Absent
13816,20130508-115,CHEUNG Kwok-che,Absent
13817,20130508-115,WONG Kwok-kin,No
13818,20130508-115,IP Kwok-him,No
13819,20130508-115,Mrs Regina IP,Absent
13820,20130508-115,Paul TSE,No
13821,20130508-115,Alan LEONG,Absent
13822,20130508-115,LEUNG Kwok-hung,Yes
13823,20130508-115,Albert CHAN,Absent
13824,20130508-115,WONG Yuk-man,Absent
13825,20130508-115,Claudia MO,Absent
13826,20130508-115,Michael TIEN,Absent
13827,20130508-115,James TIEN,No
13828,20130508-115,NG Leung-sing,No
13829,20130508-115,Steven HO,No
13830,20130508-115,Frankie YICK,No
13831,20130508-115,WU Chi-wai,Absent
13832,20130508-115,YIU Si-wing,No
13833,20130508-115,Gary FAN,Absent
13834,20130508-115,MA Fung-kwok,No
13835,20130508-115,Charles Peter MOK,Absent
13836,20130508-115,CHAN Chi-chuen,Yes
13837,20130508-115,CHAN Han-pan,No
13838,20130508-115,Dr Kenneth CHAN,Absent
13839,20130508-115,CHAN Yuen-han,No
13840,20130508-115,LEUNG Che-cheung,No
13841,20130508-115,Kenneth LEUNG,Absent
13842,20130508-115,Alice MAK,No
13843,20130508-115,Dr KWOK Ka-ki,Absent
13844,20130508-115,KWOK Wai-keung,No
13845,20130508-115,Dennis KWOK,Absent
13846,20130508-115,Christopher CHEUNG,No
13847,20130508-115,Dr Fernando CHEUNG,Absent
13848,20130508-115,SIN Chung-kai,Absent
13849,20130508-115,Dr Helena WONG,Absent
13850,20130508-115,IP Kin-yuen,Absent
13851,20130508-115,Dr Elizabeth QUAT,No
13852,20130508-115,Martin LIAO,No
13853,20130508-115,POON Siu-ping,No
13854,20130508-115,TANG Ka-piu,No
13855,20130508-115,Dr CHIANG Lai-wan,No
13856,20130508-115,Ir Dr LO Wai-kwok,No
13857,20130508-115,CHUNG Kwok-pan,No
13858,20130508-115,Christopher CHUNG,No
13859,20130508-115,Tony TSE,No
13860,20130508-116,TSANG Yok-sing,Present
13861,20130508-116,Albert HO,Absent
13862,20130508-116,LEE Cheuk-yan,Absent
13863,20130508-116,James TO,Absent
13864,20130508-116,CHAN Kam-lam,No
13865,20130508-116,LEUNG Yiu-chung,Absent
13866,20130508-116,Dr LAU Wong-fat,No
13867,20130508-116,Emily LAU,Absent
13868,20130508-116,TAM Yiu-chung,No
13869,20130508-116,Abraham SHEK,No
13870,20130508-116,Tommy CHEUNG,No
13871,20130508-116,Frederick FUNG,Absent
13872,20130508-116,Vincent FANG,Absent
13873,20130508-116,WONG Kwok-hing,No
13874,20130508-116,Prof Joseph LEE,Absent
13875,20130508-116,Jeffrey LAM,Absent
13876,20130508-116,Andrew LEUNG,No
13877,20130508-116,WONG Ting-kwong,No
13878,20130508-116,Ronny TONG,Absent
13879,20130508-116,Cyd HO,Absent
13880,20130508-116,Starry LEE,Absent
13881,20130508-116,Dr LAM Tai-fai,Absent
13882,20130508-116,CHAN Hak-kan,No
13883,20130508-116,CHAN Kin-por,No
13884,20130508-116,Dr Priscilla LEUNG,No
13885,20130508-116,Dr LEUNG Ka-lau,Absent
13886,20130508-116,CHEUNG Kwok-che,Absent
13887,20130508-116,WONG Kwok-kin,No
13888,20130508-116,IP Kwok-him,No
13889,20130508-116,Mrs Regina IP,Absent
13890,20130508-116,Paul TSE,No
13891,20130508-116,Alan LEONG,Absent
13892,20130508-116,LEUNG Kwok-hung,Yes
13893,20130508-116,Albert CHAN,Absent
13894,20130508-116,WONG Yuk-man,Absent
13895,20130508-116,Claudia MO,Absent
13896,20130508-116,Michael TIEN,Absent
13897,20130508-116,James TIEN,No
13898,20130508-116,NG Leung-sing,No
13899,20130508-116,Steven HO,No
13900,20130508-116,Frankie YICK,No
13901,20130508-116,WU Chi-wai,Absent
13902,20130508-116,YIU Si-wing,No
13903,20130508-116,Gary FAN,Absent
13904,20130508-116,MA Fung-kwok,No
13905,20130508-116,Charles Peter MOK,Absent
13906,20130508-116,CHAN Chi-chuen,Yes
13907,20130508-116,CHAN Han-pan,No
13908,20130508-116,Dr Kenneth CHAN,Absent
13909,20130508-116,CHAN Yuen-han,No
13910,20130508-116,LEUNG Che-cheung,No
13911,20130508-116,Kenneth LEUNG,Absent
13912,20130508-116,Alice MAK,No
13913,20130508-116,Dr KWOK Ka-ki,Absent
13914,20130508-116,KWOK Wai-keung,No
13915,20130508-116,Dennis KWOK,Absent
13916,20130508-116,Christopher CHEUNG,No
13917,20130508-116,Dr Fernando CHEUNG,Absent
13918,20130508-116,SIN Chung-kai,Absent
13919,20130508-116,Dr Helena WONG,Absent
13920,20130508-116,IP Kin-yuen,Absent
13921,20130508-116,Dr Elizabeth QUAT,No
13922,20130508-116,Martin LIAO,No
13923,20130508-116,POON Siu-ping,No
13924,20130508-116,TANG Ka-piu,No
13925,20130508-116,Dr CHIANG Lai-wan,No
13926,20130508-116,Ir Dr LO Wai-kwok,No
13927,20130508-116,CHUNG Kwok-pan,No
13928,20130508-116,Christopher CHUNG,No
13929,20130508-116,Tony TSE,No
13930,20130508-117,TSANG Yok-sing,Present
13931,20130508-117,Albert HO,Absent
13932,20130508-117,LEE Cheuk-yan,Absent
13933,20130508-117,James TO,Absent
13934,20130508-117,CHAN Kam-lam,No
13935,20130508-117,LEUNG Yiu-chung,Absent
13936,20130508-117,Dr LAU Wong-fat,No
13937,20130508-117,Emily LAU,Absent
13938,20130508-117,TAM Yiu-chung,No
13939,20130508-117,Abraham SHEK,No
13940,20130508-117,Tommy CHEUNG,No
13941,20130508-117,Frederick FUNG,Absent
13942,20130508-117,Vincent FANG,Absent
13943,20130508-117,WONG Kwok-hing,No
13944,20130508-117,Prof Joseph LEE,Absent
13945,20130508-117,Jeffrey LAM,Absent
13946,20130508-117,Andrew LEUNG,No
13947,20130508-117,WONG Ting-kwong,No
13948,20130508-117,Ronny TONG,Absent
13949,20130508-117,Cyd HO,Absent
13950,20130508-117,Starry LEE,Absent
13951,20130508-117,Dr LAM Tai-fai,Absent
13952,20130508-117,CHAN Hak-kan,No
13953,20130508-117,CHAN Kin-por,No
13954,20130508-117,Dr Priscilla LEUNG,No
13955,20130508-117,Dr LEUNG Ka-lau,Absent
13956,20130508-117,CHEUNG Kwok-che,Absent
13957,20130508-117,WONG Kwok-kin,No
13958,20130508-117,IP Kwok-him,No
13959,20130508-117,Mrs Regina IP,Absent
13960,20130508-117,Paul TSE,No
13961,20130508-117,Alan LEONG,Absent
13962,20130508-117,LEUNG Kwok-hung,Yes
13963,20130508-117,Albert CHAN,Absent
13964,20130508-117,WONG Yuk-man,Absent
13965,20130508-117,Claudia MO,Absent
13966,20130508-117,Michael TIEN,Absent
13967,20130508-117,James TIEN,Absent
13968,20130508-117,NG Leung-sing,No
13969,20130508-117,Steven HO,No
13970,20130508-117,Frankie YICK,No
13971,20130508-117,WU Chi-wai,Absent
13972,20130508-117,YIU Si-wing,No
13973,20130508-117,Gary FAN,Absent
13974,20130508-117,MA Fung-kwok,No
13975,20130508-117,Charles Peter MOK,Absent
13976,20130508-117,CHAN Chi-chuen,Yes
13977,20130508-117,CHAN Han-pan,No
13978,20130508-117,Dr Kenneth CHAN,Absent
13979,20130508-117,CHAN Yuen-han,No
13980,20130508-117,LEUNG Che-cheung,No
13981,20130508-117,Kenneth LEUNG,Absent
13982,20130508-117,Alice MAK,No
13983,20130508-117,Dr KWOK Ka-ki,Absent
13984,20130508-117,KWOK Wai-keung,No
13985,20130508-117,Dennis KWOK,Absent
13986,20130508-117,Christopher CHEUNG,No
13987,20130508-117,Dr Fernando CHEUNG,Absent
13988,20130508-117,SIN Chung-kai,Absent
13989,20130508-117,Dr Helena WONG,Absent
13990,20130508-117,IP Kin-yuen,Absent
13991,20130508-117,Dr Elizabeth QUAT,No
13992,20130508-117,Martin LIAO,No
13993,20130508-117,POON Siu-ping,No
13994,20130508-117,TANG Ka-piu,No
13995,20130508-117,Dr CHIANG Lai-wan,No
13996,20130508-117,Ir Dr LO Wai-kwok,No
13997,20130508-117,CHUNG Kwok-pan,No
13998,20130508-117,Christopher CHUNG,No
13999,20130508-117,Tony TSE,No
14000,20130508-118,TSANG Yok-sing,Present
14001,20130508-118,Albert HO,Absent
14002,20130508-118,LEE Cheuk-yan,Absent
14003,20130508-118,James TO,Absent
14004,20130508-118,CHAN Kam-lam,No
14005,20130508-118,LEUNG Yiu-chung,Absent
14006,20130508-118,Dr LAU Wong-fat,No
14007,20130508-118,Emily LAU,Absent
14008,20130508-118,TAM Yiu-chung,No
14009,20130508-118,Abraham SHEK,No
14010,20130508-118,Tommy CHEUNG,No
14011,20130508-118,Frederick FUNG,Absent
14012,20130508-118,Vincent FANG,Absent
14013,20130508-118,WONG Kwok-hing,Absent
14014,20130508-118,Prof Joseph LEE,Absent
14015,20130508-118,Jeffrey LAM,No
14016,20130508-118,Andrew LEUNG,No
14017,20130508-118,WONG Ting-kwong,No
14018,20130508-118,Ronny TONG,Absent
14019,20130508-118,Cyd HO,Absent
14020,20130508-118,Starry LEE,Absent
14021,20130508-118,Dr LAM Tai-fai,Absent
14022,20130508-118,CHAN Hak-kan,No
14023,20130508-118,CHAN Kin-por,No
14024,20130508-118,Dr Priscilla LEUNG,No
14025,20130508-118,Dr LEUNG Ka-lau,Absent
14026,20130508-118,CHEUNG Kwok-che,Absent
14027,20130508-118,WONG Kwok-kin,No
14028,20130508-118,IP Kwok-him,No
14029,20130508-118,Mrs Regina IP,No
14030,20130508-118,Paul TSE,No
14031,20130508-118,Alan LEONG,Absent
14032,20130508-118,LEUNG Kwok-hung,Yes
14033,20130508-118,Albert CHAN,Absent
14034,20130508-118,WONG Yuk-man,Absent
14035,20130508-118,Claudia MO,Absent
14036,20130508-118,Michael TIEN,Absent
14037,20130508-118,James TIEN,Absent
14038,20130508-118,NG Leung-sing,No
14039,20130508-118,Steven HO,No
14040,20130508-118,Frankie YICK,No
14041,20130508-118,WU Chi-wai,Absent
14042,20130508-118,YIU Si-wing,No
14043,20130508-118,Gary FAN,Absent
14044,20130508-118,MA Fung-kwok,No
14045,20130508-118,Charles Peter MOK,Absent
14046,20130508-118,CHAN Chi-chuen,Yes
14047,20130508-118,CHAN Han-pan,No
14048,20130508-118,Dr Kenneth CHAN,Absent
14049,20130508-118,CHAN Yuen-han,No
14050,20130508-118,LEUNG Che-cheung,No
14051,20130508-118,Kenneth LEUNG,Absent
14052,20130508-118,Alice MAK,No
14053,20130508-118,Dr KWOK Ka-ki,Absent
14054,20130508-118,KWOK Wai-keung,No
14055,20130508-118,Dennis KWOK,Absent
14056,20130508-118,Christopher CHEUNG,No
14057,20130508-118,Dr Fernando CHEUNG,Absent
14058,20130508-118,SIN Chung-kai,Absent
14059,20130508-118,Dr Helena WONG,Absent
14060,20130508-118,IP Kin-yuen,Absent
14061,20130508-118,Dr Elizabeth QUAT,No
14062,20130508-118,Martin LIAO,No
14063,20130508-118,POON Siu-ping,No
14064,20130508-118,TANG Ka-piu,No
14065,20130508-118,Dr CHIANG Lai-wan,No
14066,20130508-118,Ir Dr LO Wai-kwok,No
14067,20130508-118,CHUNG Kwok-pan,No
14068,20130508-118,Christopher CHUNG,No
14069,20130508-118,Tony TSE,No
14070,20130508-119,TSANG Yok-sing,Present
14071,20130508-119,Albert HO,Absent
14072,20130508-119,LEE Cheuk-yan,Absent
14073,20130508-119,James TO,Absent
14074,20130508-119,CHAN Kam-lam,No
14075,20130508-119,LEUNG Yiu-chung,Absent
14076,20130508-119,Dr LAU Wong-fat,No
14077,20130508-119,Emily LAU,Absent
14078,20130508-119,TAM Yiu-chung,No
14079,20130508-119,Abraham SHEK,No
14080,20130508-119,Tommy CHEUNG,No
14081,20130508-119,Frederick FUNG,Absent
14082,20130508-119,Vincent FANG,Absent
14083,20130508-119,WONG Kwok-hing,Absent
14084,20130508-119,Prof Joseph LEE,Absent
14085,20130508-119,Jeffrey LAM,No
14086,20130508-119,Andrew LEUNG,No
14087,20130508-119,WONG Ting-kwong,No
14088,20130508-119,Ronny TONG,Absent
14089,20130508-119,Cyd HO,Absent
14090,20130508-119,Starry LEE,No
14091,20130508-119,Dr LAM Tai-fai,Absent
14092,20130508-119,CHAN Hak-kan,No
14093,20130508-119,CHAN Kin-por,No
14094,20130508-119,Dr Priscilla LEUNG,No
14095,20130508-119,Dr LEUNG Ka-lau,Absent
14096,20130508-119,CHEUNG Kwok-che,Absent
14097,20130508-119,WONG Kwok-kin,Absent
14098,20130508-119,IP Kwok-him,No
14099,20130508-119,Mrs Regina IP,No
14100,20130508-119,Paul TSE,No
14101,20130508-119,Alan LEONG,Absent
14102,20130508-119,LEUNG Kwok-hung,Yes
14103,20130508-119,Albert CHAN,Absent
14104,20130508-119,WONG Yuk-man,Absent
14105,20130508-119,Claudia MO,Absent
14106,20130508-119,Michael TIEN,Absent
14107,20130508-119,James TIEN,Absent
14108,20130508-119,NG Leung-sing,No
14109,20130508-119,Steven HO,No
14110,20130508-119,Frankie YICK,No
14111,20130508-119,WU Chi-wai,Absent
14112,20130508-119,YIU Si-wing,No
14113,20130508-119,Gary FAN,Absent
14114,20130508-119,MA Fung-kwok,No
14115,20130508-119,Charles Peter MOK,Absent
14116,20130508-119,CHAN Chi-chuen,Yes
14117,20130508-119,CHAN Han-pan,No
14118,20130508-119,Dr Kenneth CHAN,Absent
14119,20130508-119,CHAN Yuen-han,No
14120,20130508-119,LEUNG Che-cheung,No
14121,20130508-119,Kenneth LEUNG,Absent
14122,20130508-119,Alice MAK,No
14123,20130508-119,Dr KWOK Ka-ki,Absent
14124,20130508-119,KWOK Wai-keung,No
14125,20130508-119,Dennis KWOK,Absent
14126,20130508-119,Christopher CHEUNG,No
14127,20130508-119,Dr Fernando CHEUNG,Absent
14128,20130508-119,SIN Chung-kai,Absent
14129,20130508-119,Dr Helena WONG,Absent
14130,20130508-119,IP Kin-yuen,Absent
14131,20130508-119,Dr Elizabeth QUAT,No
14132,20130508-119,Martin LIAO,No
14133,20130508-119,POON Siu-ping,No
14134,20130508-119,TANG Ka-piu,No
14135,20130508-119,Dr CHIANG Lai-wan,No
14136,20130508-119,Ir Dr LO Wai-kwok,No
14137,20130508-119,CHUNG Kwok-pan,No
14138,20130508-119,Christopher CHUNG,No
14139,20130508-119,Tony TSE,No
14140,20130508-120,TSANG Yok-sing,Present
14141,20130508-120,Albert HO,Absent
14142,20130508-120,LEE Cheuk-yan,Absent
14143,20130508-120,James TO,Absent
14144,20130508-120,CHAN Kam-lam,No
14145,20130508-120,LEUNG Yiu-chung,Absent
14146,20130508-120,Dr LAU Wong-fat,No
14147,20130508-120,Emily LAU,Absent
14148,20130508-120,TAM Yiu-chung,No
14149,20130508-120,Abraham SHEK,No
14150,20130508-120,Tommy CHEUNG,No
14151,20130508-120,Frederick FUNG,Absent
14152,20130508-120,Vincent FANG,Absent
14153,20130508-120,WONG Kwok-hing,Absent
14154,20130508-120,Prof Joseph LEE,Absent
14155,20130508-120,Jeffrey LAM,No
14156,20130508-120,Andrew LEUNG,No
14157,20130508-120,WONG Ting-kwong,No
14158,20130508-120,Ronny TONG,Absent
14159,20130508-120,Cyd HO,Absent
14160,20130508-120,Starry LEE,No
14161,20130508-120,Dr LAM Tai-fai,Absent
14162,20130508-120,CHAN Hak-kan,No
14163,20130508-120,CHAN Kin-por,No
14164,20130508-120,Dr Priscilla LEUNG,No
14165,20130508-120,Dr LEUNG Ka-lau,Absent
14166,20130508-120,CHEUNG Kwok-che,Absent
14167,20130508-120,WONG Kwok-kin,No
14168,20130508-120,IP Kwok-him,No
14169,20130508-120,Mrs Regina IP,No
14170,20130508-120,Paul TSE,No
14171,20130508-120,Alan LEONG,Absent
14172,20130508-120,LEUNG Kwok-hung,Yes
14173,20130508-120,Albert CHAN,Absent
14174,20130508-120,WONG Yuk-man,Absent
14175,20130508-120,Claudia MO,Absent
14176,20130508-120,Michael TIEN,Absent
14177,20130508-120,James TIEN,Absent
14178,20130508-120,NG Leung-sing,No
14179,20130508-120,Steven HO,No
14180,20130508-120,Frankie YICK,No
14181,20130508-120,WU Chi-wai,Absent
14182,20130508-120,YIU Si-wing,No
14183,20130508-120,Gary FAN,Absent
14184,20130508-120,MA Fung-kwok,No
14185,20130508-120,Charles Peter MOK,Absent
14186,20130508-120,CHAN Chi-chuen,Yes
14187,20130508-120,CHAN Han-pan,No
14188,20130508-120,Dr Kenneth CHAN,Absent
14189,20130508-120,CHAN Yuen-han,No
14190,20130508-120,LEUNG Che-cheung,No
14191,20130508-120,Kenneth LEUNG,Absent
14192,20130508-120,Alice MAK,No
14193,20130508-120,Dr KWOK Ka-ki,Absent
14194,20130508-120,KWOK Wai-keung,No
14195,20130508-120,Dennis KWOK,Absent
14196,20130508-120,Christopher CHEUNG,No
14197,20130508-120,Dr Fernando CHEUNG,Absent
14198,20130508-120,SIN Chung-kai,Absent
14199,20130508-120,Dr Helena WONG,Absent
14200,20130508-120,IP Kin-yuen,Absent
14201,20130508-120,Dr Elizabeth QUAT,No
14202,20130508-120,Martin LIAO,No
14203,20130508-120,POON Siu-ping,No
14204,20130508-120,TANG Ka-piu,No
14205,20130508-120,Dr CHIANG Lai-wan,No
14206,20130508-120,Ir Dr LO Wai-kwok,No
14207,20130508-120,CHUNG Kwok-pan,No
14208,20130508-120,Christopher CHUNG,No
14209,20130508-120,Tony TSE,No
14210,20130508-121,TSANG Yok-sing,Present
14211,20130508-121,Albert HO,Absent
14212,20130508-121,LEE Cheuk-yan,Absent
14213,20130508-121,James TO,Absent
14214,20130508-121,CHAN Kam-lam,No
14215,20130508-121,LEUNG Yiu-chung,Absent
14216,20130508-121,Dr LAU Wong-fat,No
14217,20130508-121,Emily LAU,Absent
14218,20130508-121,TAM Yiu-chung,No
14219,20130508-121,Abraham SHEK,No
14220,20130508-121,Tommy CHEUNG,No
14221,20130508-121,Frederick FUNG,Absent
14222,20130508-121,Vincent FANG,Absent
14223,20130508-121,WONG Kwok-hing,Absent
14224,20130508-121,Prof Joseph LEE,Absent
14225,20130508-121,Jeffrey LAM,No
14226,20130508-121,Andrew LEUNG,No
14227,20130508-121,WONG Ting-kwong,No
14228,20130508-121,Ronny TONG,Absent
14229,20130508-121,Cyd HO,Absent
14230,20130508-121,Starry LEE,No
14231,20130508-121,Dr LAM Tai-fai,Absent
14232,20130508-121,CHAN Hak-kan,No
14233,20130508-121,CHAN Kin-por,No
14234,20130508-121,Dr Priscilla LEUNG,No
14235,20130508-121,Dr LEUNG Ka-lau,Absent
14236,20130508-121,CHEUNG Kwok-che,Absent
14237,20130508-121,WONG Kwok-kin,No
14238,20130508-121,IP Kwok-him,No
14239,20130508-121,Mrs Regina IP,No
14240,20130508-121,Paul TSE,No
14241,20130508-121,Alan LEONG,Absent
14242,20130508-121,LEUNG Kwok-hung,Yes
14243,20130508-121,Albert CHAN,Absent
14244,20130508-121,WONG Yuk-man,Absent
14245,20130508-121,Claudia MO,Absent
14246,20130508-121,Michael TIEN,Absent
14247,20130508-121,James TIEN,Absent
14248,20130508-121,NG Leung-sing,No
14249,20130508-121,Steven HO,No
14250,20130508-121,Frankie YICK,No
14251,20130508-121,WU Chi-wai,Absent
14252,20130508-121,YIU Si-wing,No
14253,20130508-121,Gary FAN,Absent
14254,20130508-121,MA Fung-kwok,No
14255,20130508-121,Charles Peter MOK,Absent
14256,20130508-121,CHAN Chi-chuen,Yes
14257,20130508-121,CHAN Han-pan,No
14258,20130508-121,Dr Kenneth CHAN,Absent
14259,20130508-121,CHAN Yuen-han,No
14260,20130508-121,LEUNG Che-cheung,No
14261,20130508-121,Kenneth LEUNG,Absent
14262,20130508-121,Alice MAK,No
14263,20130508-121,Dr KWOK Ka-ki,Absent
14264,20130508-121,KWOK Wai-keung,No
14265,20130508-121,Dennis KWOK,Absent
14266,20130508-121,Christopher CHEUNG,No
14267,20130508-121,Dr Fernando CHEUNG,Absent
14268,20130508-121,SIN Chung-kai,Absent
14269,20130508-121,Dr Helena WONG,Absent
14270,20130508-121,IP Kin-yuen,Absent
14271,20130508-121,Dr Elizabeth QUAT,No
14272,20130508-121,Martin LIAO,No
14273,20130508-121,POON Siu-ping,No
14274,20130508-121,TANG Ka-piu,No
14275,20130508-121,Dr CHIANG Lai-wan,No
14276,20130508-121,Ir Dr LO Wai-kwok,No
14277,20130508-121,CHUNG Kwok-pan,No
14278,20130508-121,Christopher CHUNG,No
14279,20130508-121,Tony TSE,No
14280,20130508-122,TSANG Yok-sing,Present
14281,20130508-122,Albert HO,Absent
14282,20130508-122,LEE Cheuk-yan,Absent
14283,20130508-122,James TO,Absent
14284,20130508-122,CHAN Kam-lam,No
14285,20130508-122,LEUNG Yiu-chung,Absent
14286,20130508-122,Dr LAU Wong-fat,No
14287,20130508-122,Emily LAU,Absent
14288,20130508-122,TAM Yiu-chung,No
14289,20130508-122,Abraham SHEK,No
14290,20130508-122,Tommy CHEUNG,No
14291,20130508-122,Frederick FUNG,Absent
14292,20130508-122,Vincent FANG,Absent
14293,20130508-122,WONG Kwok-hing,Absent
14294,20130508-122,Prof Joseph LEE,Absent
14295,20130508-122,Jeffrey LAM,No
14296,20130508-122,Andrew LEUNG,No
14297,20130508-122,WONG Ting-kwong,No
14298,20130508-122,Ronny TONG,Absent
14299,20130508-122,Cyd HO,Absent
14300,20130508-122,Starry LEE,No
14301,20130508-122,Dr LAM Tai-fai,Absent
14302,20130508-122,CHAN Hak-kan,No
14303,20130508-122,CHAN Kin-por,No
14304,20130508-122,Dr Priscilla LEUNG,No
14305,20130508-122,Dr LEUNG Ka-lau,Absent
14306,20130508-122,CHEUNG Kwok-che,Absent
14307,20130508-122,WONG Kwok-kin,No
14308,20130508-122,IP Kwok-him,No
14309,20130508-122,Mrs Regina IP,No
14310,20130508-122,Paul TSE,No
14311,20130508-122,Alan LEONG,Absent
14312,20130508-122,LEUNG Kwok-hung,Yes
14313,20130508-122,Albert CHAN,Absent
14314,20130508-122,WONG Yuk-man,Absent
14315,20130508-122,Claudia MO,Absent
14316,20130508-122,Michael TIEN,Absent
14317,20130508-122,James TIEN,Absent
14318,20130508-122,NG Leung-sing,No
